Title,Directors,Writers,Actors,Genres,Release Date,Runtime,Rating Count,Summary
King of War,Redley Scott,,"Matt Damon, Jessica Chastan, Christine Wigg, Jeff Daniels, Michael Pena, Kate Marla, Seanbin, Sebastian Stan, Donnad路 Groofer, Chevat Egant, Akasar Henne, Chen Shu, Kaohsiung, Wang Hanbin, McCanz Davis, Naomi Scott, Lili Boldan, clothLane Caspe","Plot, science fiction, adventure",2005/9/16,122,769626,"The manned spacecraft Ares No. 3 successfully arrived in Mars. Who knew that a storm with a great destructive power hit the astronauts. Aris 3 was forced to interrupt the task and returned urgently.On the way to evacuation, astronaut Mark Waternie (Matt Damon Matt Damon) was hit by the parts blowing off on the spacecraft. Due to the sluggish hope of survival, his teammates had to hurriedly returned and declared the fact that he had sacrificed his sacrifice to the world.EssenceUnexpectedly, Mark survived at a very low probability.He hid in a space base in Mars to heal.The next Mars mission will wait four years, and the supply in the base is only enough for him to maintain 31 days.After a short despair, Mark decided to use limited food to plant crops on this empty planet to find a line of vitality.At the same time, the earth also quickly discovered the fact that Macon returned, and they tried their best to deploy the rescue plan.Can Mark, who is fighting alone, wait until the rescue team comes?

The film is adapted from Andy Will's science fiction of the same name."
Blood drill,Guo Ke,,,Documentary,2006/12/8,143,300564,"In the eight years of the Japanese invasion of China, at least 200,000 Chinese women were forced to be reduced to sexual slaves of the Japanese army, which is the ""comfort woman"" we often mentioned.When the film was filmed in 2014, there were only 22 ""comfort women"" survivors in mainland China.When time is slowly scratched and the time is raised, these old people who have experienced the hardships that ordinary people can't imagine now are now, what kind of life is, and what kind of sadness and joy are experienced?"
Constantly,Andrew Nikor,,"Nicholas Cage, Brigitte Monaham, Jerid Leito, Ian Hom, Issan Hock, Evygenni Razay, Irin Walker,Tenit Fenix","Plot, crime",2008/6/28,115,386192,"Originally, the family business of U.S. immigrants Yuri (Nicolas Cage) opened a restaurant.But an accidental opportunity made him enter the door of the arms business, and since then he started the ""career"" of selling weapons.You Rui was witty and bold, which not only made him successfully captured the heart of the beauty Eva, but also made him more and more brave in the underground arms business.However, things that were not followed also followed: the deadly opponent of business and an international policeman who was always staring at him; the younger brother was addicted to drug addiction and lost his life in a single business transaction.He is trying to maintain his justice in his family, but he can't hide the truth.You Rui began to reflect on the justice of his business and tortured his conscience, but everything was too late, he had rebelled ..."
Millennium actress,Edward Zwick,,"Leonardo Dicaprio, Jehman Hamsu, Jennifer Conniler, Arnold Wosllo, David Harleywood, Jimmy Mistere, Mike Sin, Stephen Collins","Plot, thriller, adventure",2001/7/28,87,396402,"In the 1990s, Sierra Leine, Africa, the fire caused the land to be destroyed, and the illegal diamond trade became increasingly rampant.

Archeore (Leonardo Dicaprio) is an authentic war trafficker. He lives on the war zone diamonds. In his prison, he accidentally learned that the fisherman Solomon had the best pink diamond.I realized that this was an opportunity to leave Africa. After being released from prison, he found Solomon, prepared to find diamonds with him, and left Africa.

Solomon is an ordinary fisherman. He was forced to minimize diamonds because of the separation of the civil war and his family. He found a superb pink diamond and hid it; when the war came, Solomon entered the prison, was rescued by Ache, and reported in the battlefield McGrady McGrady.With the help of Baowen (Jennifer Connery), he found the lost family. At this time, his son Dia was taken away by the rebels, and his life and death were unknown.

Solkoma, who was sad and angry, agreed with Ache to find diamonds and his son within the control scope of the rebels.

Two different people, because a blood diamond linked fate."
Harry Potter and Phoenix,Is Zhi Yuhe,,"Abe Kuan, Natsukawa Yui, Jiang Yuan Yukiko, Takahashi Kazuki, Tanaka Xiangping, Wild Benjun, Lin Lingya, Temple Island, Kato Jizi","Plot, family",2007/8/10,138,294303,"""The road of life is constantly, why always shoot slowly.""

The Yokoyama family in a remote town is calm and peaceful.His father Gong Ping (Harada Fangxiong) is a retired doctor in the industry, but always cares about the affairs in the town clinic.The eldest son Chunping inherited his father's career, but drowned to die 15 years ago to save children.The second son (Abe Kuan) and his father's opinions were on the left, and he insisted on going to a different place as a painter repair division.For many years, they have been unemployed. Many of them are trapped and married with their children Yixiang (Natsukawa Yui), support each other, and continue to live.

On the day of Chunping, many of them rushed home with my sister Qian Nami (you) with his family.The peaceful Hengshan family became lively again ...

This film won the 2009 Best Director Award and Best Supporting Actress Award (Tree Hillin), the 2008 Report Film and 2009 Film Shinji Best Supporting Actress (Tree Hilin), 2009 Daily Film Award Best Male MaleThe protagonist (Abe Kuan), the 2008 Matabahaota International Film Festival Jury Award and the best film."
Room,Jinmin,,"Zhuang Si Mido, Kosama Mami, Two Komoi, Izuka Zhaosan, Ono Sakama, Mizuka Misaki, Ringzhi Kyoko, Kyota Shangzi, Takuraki, Ishigama Takamoto, Sato Masao, Fei Houcheng, Sakaguchi Yichi, Kimura Kimura, Kimura Yako, Sako Shizhi, Nomashima Yu Shi, Asano Liuli, Grand and Hiroshiko, Hiroshi Garden","Plot, love, animation",2015/9/4,118,287385,"The 60 -year -old Tachibana also and the 28 -year -old photographer Inka Toyo, not far away, waded on the hill to visit A 鈥嬧€媑eneration of movie star Fujiwara Chiyoko who lived for 30 years.Although Chiyoko, who came from, is 75 years old, is still elegant and beautiful, and the iconic small mole under the left eye is still playful.Lihua handed a key with both hands. Chiyoko was shocked, saying that the key was the key to opening a secret. She accidentally lost her, and she could still go back to her hand today.Chiyoko's thoughts flew far.

On September 1, 1926, Akihara Chiyoko fell to the ground. She was at the age of 16 at the age of 16 and was discovered by the scout.It is the key to opening the secret and promised to take her to see the snow from Hokkaido when she reunited with her.However, when Chiyoko returned home the next day, the painter had escaped and fled because of the escape.

Chiyoko entered the film industry since then, just because the painter finally said that he would go to Manchuria to fight, and the first film promised to go to Manchuria.From then on Chiyoko's screen career opened, four different times such as the Japanese Warring States, Shogunate, Dazheng and Showa ..."
Soul Broken Blue Bridge,David Yutz,,"Daniel Daniel Driff, Emma Watson, Robert Grindot, Gary Odman, Ralph Fins, Maggie Smith, Michael Gangben, Allen RickMan, Emma Thompson, Emida Sandon, Jonson Isaac, Tom Felton, Helena Burch Carter, Bangnie White, Juli Wattus, Liang Peishi, Liang Peishi,Blaidan Gryson, Roupeg Cartrani, Ivana Lingqi","Fantasy, adventure",1940/5/17,108,610403,"Escape from the hunting of Montess and passed the review of the Ministry of Magic, Harry (Daniel Red Creff) finally returned to the beautiful Hogwarts.However, this semester is not easy. He not only has to complete the magic grade test, but also to respond to the suppression of the nightmare and the black magic defense teacher Umiric at night.With the support of friends, Harry secretly formed the Dunbaido Army to practice black magic defense with everyone.

In the nightmare, Harry always appeared from the perspective of Voldemort, as if there was some mysterious connection between them.Under the instructions of Dumbledore's (Michael Gang), Harry learned closed surgery from Professor Snape (Allen Rickman), but it was little effective.Under the temptation of a nightmare, Harry paralyzed to the Ministry of Magic to rescue Sirius, but did not want to fall into the trap of Voldemort, causing a positive conflict between the Phoenix and the Death Eaters.During the melee, Sirius (Gary Ottman) was killed unfortunately.

What is the connection between Harry and Voldemort (Ralph Fins)?In the sorrow, Dunbaido revealed the mystery for Harry. Harry still has a longer and more difficult way to go ..."
Spy Shadow 2,Lenny Aberhahamson,,"Buli Larsen, Jacob Terren Blale, Sean Briggus, Wormy Gulson, Amanda Bruger, Joe Pinge, Joan Allen, Kas路 Awars, William H. Messi, Landor Edward, Rodrigo Feln Dels-Stel, Rori Osie, Tom McCamus, Jack Fulton, Meghan 路 路Parker","Plot, family",2004/11/14,108,380256,"Girl Joey (Brie Larson) was abducted by a man named ""Old Nick"", and was then imprisoned in the shed in his house for seven years.During this period, she was raped and gave birth to her son Jack (Jacob Tremblay).Relying on the old Nick's supplies from time to time, the mother and son were difficult.Nevertheless, the mother did what she could, creating a safe and happy growth space for her son Jack.This narrow room has become a magical little world for Jack's life and growth.After Jack spent his five -year -old birthday, his mother decided to tell him the truth that there was a wider world outside of this small room.They started planning to escape plans, determined to escape from the room that imprisoned their room ...

The film is adapted from Emma Donaldo's novel of the same name."
High red lanterns hang high,Maowen Luluwa,,"Favor Lili, Robert Taylor, Lussel Waterson, Virginia Philde, Maria Pencecia, C. Obre Smith, JAnet Shaw, JAnet Waldo, Steffi Duna, Virginia Carroll, Eleanor Stewart,Lowden Adams, Harry Allen, Jimmy Aubrey, Phyllis Barry, Colin Campbell, 涓藉路鍗¤幈灏? 閲屽ゥ.G.鍗＄綏灏? 鎴寸淮路鍗℃枃杩粈, 澶у崼路鍏嬭幈寰? 姹ゅ路搴峰▉, FrankDawson, Connie Emerald, Gilbert Emery, Herbert Evans, Dick Gordon, Denis Green, Essel Griffith, Bobby Hale, Winifred Harris, Harry Well Huo HuoBes, Harold Howard, Charles Irwin, George Kirby, Walter Lawrence, Wilfred Lucas, Dan Maxwell, James May, Florine McKinney, CHARLES MCNAUGHTON, Frank Mitchell, Edmond 路 Motimo, LennaDemidi, Tempe Pigtt, John Ball, Clara Reid, Paul Scardon, John Graim Sti, Wyndham Standing, Harry Stibes, Cyril Thornton, David SeriesBi, Noma Vuitton, Pat Wales, Martha Winter Worth, Frank Whitbeck, Eric Wilton, Robert Winker, Douglas Wood","Plot, love, war",1991/9/10,125,290801,"During the World War I, Roy (Robert Taylor), who returned to the country for vacation, met the dancer Marla (Fei Wen Lili) on the Waterloo Bridge.Just when the two decided to get married, Roy responded to the camp, and the two were forced to separate.Because of missing the play of the troupe, Mara was fired and could only depend on his friends.

Soon Mara learned that Roy's death was collapsed and was hit.Mara, who lost her love, felt that everything was lost. In order to survive, she and her friends had to be reduced to prostitutes.However, fate fought, and at this moment Mara met Roy again.Although he was excited for Roy's life, Mara was in pain due to his loss.

I felt that all the unparalleled Mara left left, and came to the place where the two met at the beginning -the Waterloo Bridge ..."
Spider -Man: Parallel Universe,Paul Green Glas,,"Matt Damon, Brian Cosks, Joan Allen, Karl Ebam, Franca Pottente, Julia Styls, Gabriel Man, Malton Sockes, Tom Gallop, John Bedford Louger, Eshan Sandler, Michelle Monham, Karel Roden, Thomas Arana, Osana AhKimos, Yevgeni Sitokhin, Tim Griffin, Sean Smith, Maxim Corvalvsky, Patrick Clalli, Jon Colin Barkley, Xien SimantetScience, Claudio Manicco, Dirk Schoedon, Ivan Sherordov, Dennis Burgartov, Nick Wilder, Victor Eiffel, Elena Curda, Chris Curpper","Action, suspense, thriller",2018/12/21,116,369203,"After the bloody storm of the previous episode, Berne (Matt Damon) and his girlfriend Mary (Frank Tam) lived in a remote seaside town in India and wanted to forget their previous life.One day, the killer of the mysterious organization came to the town and broke the tranquility of the Berne world. His girlfriend Mary was shot dead during the flee.

In order to find out the truth, Berne started fighting again. He found that the Central Love Bureau, who had worked in the past, began to find him again. He was involved in a assassination activity and was framed and destroyed by the Central Love Bureau's intelligence transaction to kill agents.Burne has no choice. He can only find someone who pretends to be himself in order to wash it innocent and take revenge for his girlfriend."
